"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Get email important","Get email important","1","1","8","0","0"
"","Presentations - Jeyson Valdivia","Get Presentations","4","0","6","0","0"
"","Presentations - Jeyson Valdivia","Create Presentations","17","1","2","0","0"
"","Activity - Nicole Muñoz","Get activity","2","0","15","0","0"
"","Email Insert Image","Post Email Insert Image","0","0","7","0","0"
"","","","24","9","47","0","0"
"","Contact - Nicole Muñoz","Post contact","3","0","4","0","0"
"","Presentations - Jeyson Valdivia","Delete Presentations","1","0","8","0","0"
"","Email Important","Delete Email Important","0","5","0","0","0"
"","Contact - Nicole Muñoz","Put contact","1","0","4","0","0"
